name,resili_a,resili_b,resili_c,resili_d,resili_e,suscep_a,suscep_b,suscep_c,suscep_d,suscep_e,exposi,resili,suscep,vulnera,exposi_a,exposi_b,exposi_c,exposi_d,id
VALLE DEL TEPEYAC,0.035676247487368,0.253866470906653,0.82274,0.733494109833587,0.589823595892321,0.947,0.0,0.0,0.025027964258975,0.1326,0.151,0.461,0.221,0.164,0.254,0.038,0.0,0.251,1668
AMPL MAGDALENA DE LAS SALINAS,0.035676247487368,0.253866470906653,0.82274,0.733494109833587,0.589823595892321,0.947,0.0,0.0,0.025027964258975,0.1326,0.142,0.461,0.221,0.156,0.254,0.038,0.0,0.213,1669
GUSTAVO A. MADERO,0.035958345880072,0.195552145254839,0.88003,0.733494109833587,0.673619368797369,0.947,0.0,0.0,0.100773968081834,0.182,0.155,0.466,0.246,0.186,0.196,0.02,0.0,0.361,1670
MARTIN CARRERA,0.02810887360613,0.17174795602678,0.68804,0.733494109833587,0.660506374545975,0.947,0.0,0.0,0.049337276298327,0.1448,0.15,0.415,0.228,0.216,0.172,0.045,0.0,0.314,1671
SALVADOR DIAZ MIRON,0.023322325681268,0.146329691793245,0.53835,0.733494109833587,0.626348323498498,0.947,0.0,0.0,0.07111177949689,0.0741,0.062,0.367,0.218,0.188,0.146,0.001,0.0,0.094,1672
UNIDAD HAB EL COYOL,0.034666708645031,0.127073704544549,0.66929,0.733494109833587,0.624206420774346,0.947,0.0,0.0,0.119962930105509,0.0901,0.476,0.386,0.231,0.498,0.127,0.554,0.0,0.594,1673
LA ESMERALDA,0.041981581693061,0.117327430441329,0.67663,0.733494109833587,0.51563459553482,0.947,0.0,0.0,0.105121668394711,0.1337,0.473,0.363,0.237,0.526,0.117,0.685,0.0,0.331,1674
CAMPESTRE ARAGON,0.041981581693061,0.117327430441329,0.67663,0.733494109833587,0.51563459553482,0.947,0.0,0.0,0.105121668394711,0.1337,0.566,0.363,0.237,0.596,0.117,0.685,0.0,0.686,1675
PROVIDENCIA,0.022835347350996,0.098412242830593,0.6316,0.733494109833587,0.579554438574289,0.947,0.00032697466632,0.0,0.057418987331182,0.0568,0.532,0.357,0.212,0.552,0.098,0.743,0.0,0.461,1676
MAGDALENA DE LAS SALINAS,0.040431197471208,0.278304493903259,0.81768,0.733494109833587,0.673876097862148,0.9735,0.0,0.0,0.083748602234395,0.116,0.088,0.487,0.235,0.104,0.278,0.028,0.0,0.004,1677
GUADALUPE INSURGENTES,0.152611914014772,0.24426943516367,0.63227,0.733494109833587,0.680336892732018,0.947,0.0,0.0,0.073997527171696,0.1736,0.217,0.449,0.239,0.246,0.244,0.069,0.0,0.454,1678
AMPL PANAMERICANA,0.152611914014772,0.24426943516367,0.63227,0.733494109833587,0.680336892732018,0.947,0.0,0.0,0.073997527171696,0.1736,0.263,0.449,0.239,0.28,0.244,0.069,0.0,0.626,1679
